iter	Passed	Remaining
945	15943	910
946	15958	893
947	15972	876
948	15987	859
949	16001	842
950	16017	825
951	16035	808
952	16050	791
953	16069	774
954	16082	757
955	16095	740
956	16109	723
957	16123	706
958	16136	689
959	16151	672
960	16165	656
961	16180	639
962	16194	622
963	16207	605
964	16224	588
965	16242	571
966	16263	555
967	16276	538
968	16290	521
969	16303	504
970	16317	487
971	16331	470
972	16345	453
973	16360	436
974	16373	419
975	16388	402
976	16402	386
977	16415	369
978	16432	352
979	16450	335
980	16470	318
981	16484	302
982	16498	285
983	16513	268
984	16527	251
985	16541	234
986	16555	218
987	16570	201
988	16583	184
989	16599	167
990	16612	150
991	16626	134
992	16644	117
993	16667	100
994	16681	83
995	16695	67
996	16708	50
997	16722	33
998	16737	16
999	16750	0
